"model_type","prompt_length","ms_per_token","oom"
"vanilla","128","5.317","false"
"vanilla","256","5.191","false"
"vanilla","512","5.046","false"
"vanilla","1024","4.964","false"
"delta","128","14.162","false"
"delta","256","15.185","false"
"delta","512","13.806","false"
"delta","1024","14.007","false"
"delta_product","128","16.679","false"
"delta_product","256","16.677","false"
"delta_product","512","16.927","false"
"delta_product","1024","16.949","false"
"nsa","128","208.012","false"
"nsa","256","217.586","false"
"nsa","512","227.103","false"
"nsa","1024","269.103","false"
